Source	Interaction	Target
Q8IZP0-2	controls-state-change-of	O15143
Q9NYB9-2	controls-state-change-of	O15143
P00519-2	controls-state-change-of	Q8IZP0-2
P00519-2	controls-state-change-of	Q9NYB9-2
P00519-2	controls-state-change-of	P42684-4
P00519-2	controls-state-change-of	Q13535
P00519-2	controls-state-change-of	Q9UQB8-5
P00519-2	controls-state-change-of	P46527
P00519-2	controls-state-change-of	P35221
P00519-2	controls-state-change-of	Q14247-3
P00519-2	controls-state-change-of	P17844
P00519-2	controls-state-change-of	P00533
P00519-2	controls-state-change-of	Q12929
P00519-2	controls-state-change-of	P16333-2
P00519-2	controls-state-change-of	Q99638
P00519-2	controls-state-change-of	P06400
P00519-2	controls-state-change-of	Q9Y6N7
P00519-2	controls-state-change-of	Q13188
P42684-4	controls-state-change-of	Q9Y6N7
P31749	controls-state-change-of	Q9UKV3
P31749	controls-state-change-of	Q96B36
P31749	controls-state-change-of	Q9UKG1
P31749	controls-state-change-of	Q92934
P31749	controls-state-change-of	P15056
P31749	controls-state-change-of	P24941
P31749	controls-state-change-of	P46527
P31749	controls-state-change-of	O14757
P31749	controls-state-change-of	P26358
P31749	controls-state-change-of	Q96F86
P31749	controls-state-change-of	Q13541
P31749	controls-state-change-of	Q9BZQ8
P31749	controls-state-change-of	P49841
P31749	controls-state-change-of	P07900
P31749	controls-state-change-of	P42858
P31749	controls-state-change-of	Q12906
P31749	controls-state-change-of	Q92945
P31749	controls-state-change-of	Q9Y618
P31749	controls-state-change-of	Q15121
P31749	controls-state-change-of	O60825
P31749	controls-state-change-of	P04049
P31749	controls-state-change-of	P23396
Q96B36	controls-state-change-of	Q00613
P31749	controls-state-change-of	Q7Z6J0
P31749	controls-state-change-of	Q13188
P31749	controls-state-change-of	P40818
P31749	controls-state-change-of	P55072
P31749	controls-state-change-of	Q9H4A3
P31749	controls-state-change-of	P67809
P31749	controls-state-change-of	P62258
P31749	controls-state-change-of	Q07352
P31749	controls-state-change-of	Q15942
Q9UKG1	controls-state-change-of	P42574
P49407-2	controls-state-change-of	Q92997
P49407-2	controls-state-change-of	P49841
P49407-2	controls-state-change-of	Q9UMX1-2
P20020-3	controls-state-change-of	Q05682-3
P20020-3	controls-state-change-of	Q05682-5
P20020-3	controls-state-change-of	Q13557-8
P20020-3	controls-state-change-of	P07196
P20020-3	controls-state-change-of	P17252
P20020-3	controls-state-change-of	Q05655
P20020-3	controls-state-change-of	P49023
P20020-3	controls-state-change-of	P11216
P20020-3	controls-state-change-of	P11217
Q13535	controls-state-change-of	Q8N4S0
Q13535	controls-state-change-of	P24941
Q13535	controls-state-change-of	O14757
Q13535	controls-state-change-of	P39880
